state,district,profile,rainfall_mm,temperature_c,soil_moisture_pct,ndvi,reservoir_level_pct,aqi,dominant_risk
Andhra Pradesh,East Godavari,coastal_flood,190,31,68,0.62,82,82,flood
Assam,Dhemaji,riverine_flood,240,29,76,0.68,78,78,flood
Bihar,Patna,heat_flood,140,35,52,0.49,59,145,heatwave
Gujarat,Kutch,arid_drought,28,39,18,0.21,22,108,drought
Karnataka,Bengaluru Urban,urban_heat,92,34,39,0.36,34,168,heatwave
Maharashtra,Marathwada,drought,44,38,24,0.26,27,132,drought
Odisha,Puri,coastal_cyclone,205,31,66,0.61,71,92,flood
Rajasthan,Jaisalmer,desert_heat,16,42,12,0.14,14,115,heatwave
Tamil Nadu,Chennai,urban_coastal,132,34,49,0.42,48,156,urban_flood
Uttar Pradesh,Varanasi,heat_water_stress,70,40,26,0.29,31,174,water_stress
